Year,State,gasPriceAfterMarch8,gasPriceBeforeMarch8,gasPriceDiff,is2022
2012,Florida,3.853,3.858,-0.005,0
2012,Massachussettes,3.786,3.789,-0.003,0
2012,Minnesota,3.704,3.645,0.059,0
2012,New York,4.021,4.021,0,0
2012,Ohio,3.913,3.783,0.13,0
2012,Texas,3.734,3.669,0.065,0
2012,Washington,4.023,3.997,0.026,0
2013,California,4.221,4.26,-0.039,0
2013,Colorado,3.607,3.624,-0.017,0
2013,Florida,3.831,3.876,-0.045,0
2013,Massachussettes,3.769,3.797,-0.028,0
2013,Minnesota,3.657,3.742,-0.085,0
2013,New York,4.029,4.045,-0.016,0
2013,Ohio,3.585,3.754,-0.169,0
2013,Texas,3.622,3.658,-0.036,0
2013,Washington,3.862,3.842,0.02,0
2014,California,3.946,3.904,0.042,0
2014,Colorado,3.647,3.59,0.057,0
2014,Florida,3.548,3.538,0.01,0
2014,Massachussettes,3.584,3.564,0.02,0
2014,Minnesota,3.577,3.511,0.066,0
2014,New York,3.83,3.794,0.036,0
2014,Ohio,3.645,3.638,0.007,0
2014,Texas,3.342,3.307,0.035,0
2014,Washington,3.582,3.501,0.081,0
2015,California,3.489,3.468,0.021,0
2015,Colorado,2.294,2.254,0.04,0
2015,Florida,2.526,2.534,-0.008,0
2015,Massachussettes,2.491,2.424,0.067,0
2015,Minnesota,2.533,2.477,0.056,0
2015,New York,2.704,2.644,0.06,0
2015,Ohio,2.4,2.535,-0.135,0
2015,Texas,2.318,2.313,0.005,0
2015,Washington,2.875,2.708,0.167,0
2016,California,2.651,2.495,0.156,0
2016,Colorado,2,1.884,0.116,0
2016,Florida,2.019,1.972,0.047,0
2016,Massachussettes,1.98,1.882,0.098,0
2016,Minnesota,2.045,1.951,0.094,0
2016,New York,2.095,2.036,0.059,0
2016,Ohio,2.016,1.951,0.065,0
2016,Texas,1.84,1.701,0.139,0
2016,Washington,2.226,2.121,0.105,0
2017,California,3.063,3.059,0.004,0
2017,Colorado,2.274,2.288,-0.014,0
2017,Florida,2.372,2.394,-0.022,0
2017,Massachussettes,2.331,2.322,0.009,0
2017,Minnesota,2.318,2.336,-0.018,0
2017,New York,2.507,2.509,-0.002,0
2017,Ohio,2.229,2.34,-0.111,0
2017,Texas,2.183,2.199,-0.016,0
2017,Washington,2.869,2.81,0.059,0
2018,California,3.451,3.414,0.037,0
2018,Colorado,2.477,2.48,-0.003,0
2018,Florida,2.589,2.661,-0.072,0
2018,Massachussettes,2.662,2.659,0.003,0
2018,Minnesota,2.544,2.558,-0.014,0
2018,New York,2.728,2.751,-0.023,0
2018,Ohio,2.517,2.49,0.027,0
2018,Texas,2.401,2.398,0.003,0
2018,Washington,3.055,3.046,0.009,0
2019,California,3.297,3.271,0.026,0
2019,Colorado,2.338,2.287,0.051,0
2019,Florida,2.501,2.503,-0.002,0
2019,Massachussettes,2.479,2.461,0.018,0
2019,Minnesota,2.44,2.381,0.059,0
2019,New York,2.588,2.529,0.059,0
2019,Ohio,2.491,2.427,0.064,0
2019,Texas,2.276,2.235,0.041,0
2019,Washington,2.857,2.813,0.044,0
2020,California,3.403,3.435,-0.032,0
2020,Colorado,2.376,2.455,-0.079,0
2020,Florida,2.309,2.374,-0.065,0
2020,Massachussettes,2.52,2.546,-0.026,0
2020,Minnesota,2.276,2.345,-0.069,0
2020,New York,2.547,2.57,-0.023,0
2020,Ohio,2.292,2.265,0.027,0
2020,Texas,2.111,2.163,-0.052,0
2020,Washington,3,3.01,-0.01,0
2021,California,3.819,3.725,0.094,0
2021,Colorado,2.932,2.853,0.079,0
2021,Florida,2.904,2.754,0.15,0
2021,Massachussettes,2.822,2.757,0.065,0
2021,Minnesota,2.789,2.734,0.055,0
2021,New York,2.902,2.845,0.057,0
2021,Ohio,2.719,2.778,-0.059,0
2021,Texas,2.652,2.535,0.117,0
2021,Washington,3.302,3.121,0.181,0
2022,California,5.68,5.283,0.397,1
2022,Colorado,4.069,3.878,0.191,1
2022,Florida,4.366,4.082,0.284,1
2022,Massachussettes,4.389,4.263,0.126,1
2022,Minnesota,3.984,3.797,0.187,1
2022,New York,4.437,4.376,0.061,1
2022,Ohio,4.144,3.919,0.225,1
2022,Texas,4.054,3.84,0.214,1
2022,Washington,4.742,4.383,0.359,1
