Year,State,gasPriceAfterFeb24,gasPriceBeforeFeb24,gasPriceDiff,is2022
2012,Texas,3.63,3.555,0.075,0
2012,Washington,3.942,3.725,0.217,0
2013,California,4.26,4.203,0.057,0
2013,Colorado,3.638,3.563,0.075,0
2013,Florida,3.925,3.858,0.067,0
2013,Massachussettes,3.816,3.796,0.02,0
2013,Minnesota,3.833,3.803,0.03,0
2013,New York,4.079,4.045,0.034,0
2013,Ohio,3.692,3.853,-0.161,0
2013,Texas,3.711,3.597,0.114,0
2013,Washington,3.791,3.691,0.1,0
2014,California,3.904,3.844,0.06,0
2014,Colorado,3.59,3.51,0.08,0
2014,Florida,3.538,3.551,-0.013,0
2014,Massachussettes,3.564,3.541,0.023,0
2014,Minnesota,3.511,3.462,0.049,0
2014,New York,3.794,3.775,0.019,0
2014,Ohio,3.638,3.612,0.026,0
2014,Texas,3.307,3.272,0.035,0
2014,Washington,3.501,3.438,0.063,0
2015,California,3.468,3.009,0.459,0
2015,Colorado,2.254,2.219,0.035,0
2015,Florida,2.534,2.426,0.108,0
2015,Massachussettes,2.424,2.328,0.096,0
2015,Minnesota,2.477,2.315,0.162,0
2015,New York,2.644,2.568,0.076,0
2015,Ohio,2.535,2.43,0.105,0
2015,Texas,2.313,2.194,0.119,0
2015,Washington,2.708,2.428,0.28,0
2016,California,2.461,2.347,0.114,0
2016,Colorado,1.747,1.641,0.106,0
2016,Florida,1.85,1.857,-0.007,0
2016,Massachussettes,1.883,1.89,-0.007,0
2016,Minnesota,1.862,1.68,0.182,0
2016,New York,2.025,2.042,-0.017,0
2016,Ohio,1.873,1.775,0.098,0
2016,Texas,1.646,1.617,0.029,0
2016,Washington,2.065,2.064,0.001,0
2017,California,3.014,2.955,0.059,0
2017,Colorado,2.277,2.286,-0.009,0
2017,Florida,2.372,2.383,-0.011,0
2017,Massachussettes,2.345,2.355,-0.01,0
2017,Minnesota,2.317,2.304,0.013,0
2017,New York,2.525,2.546,-0.021,0
2017,Ohio,2.234,2.158,0.076,0
2017,Texas,2.168,2.169,-0.001,0
2017,Washington,2.79,2.756,0.034,0
2018,California,3.418,3.408,0.01,0
2018,Colorado,2.501,2.538,-0.037,0
2018,Florida,2.618,2.677,-0.059,0
2018,Massachussettes,2.676,2.701,-0.025,0
2018,Minnesota,2.565,2.588,-0.023,0
2018,New York,2.762,2.784,-0.022,0
2018,Ohio,2.39,2.326,0.064,0
2018,Texas,2.352,2.372,-0.02,0
2018,Washington,3.018,3.022,-0.004,0
2019,California,3.259,3.241,0.018,0
2019,Colorado,2.234,2.143,0.091,0
2019,Florida,2.383,2.275,0.108,0
2019,Massachussettes,2.452,2.41,0.042,0
2019,Minnesota,2.33,2.188,0.142,0
2019,New York,2.516,2.435,0.081,0
2019,Ohio,2.388,2.266,0.122,0
2019,Texas,2.177,2.122,0.055,0
2019,Washington,2.819,2.817,0.002,0
2020,California,3.435,3.443,-0.008,0
2020,Colorado,2.455,2.519,-0.064,0
2020,Florida,2.374,2.444,-0.07,0
2020,Massachussettes,2.546,2.571,-0.025,0
2020,Minnesota,2.345,2.356,-0.011,0
2020,New York,2.57,2.584,-0.014,0
2020,Ohio,2.265,2.41,-0.145,0
2020,Texas,2.163,2.204,-0.041,0
2020,Washington,3.01,3.006,0.004,0
2021,California,3.652,3.54,0.112,0
2021,Colorado,2.759,2.611,0.148,0
2021,Florida,2.646,2.65,-0.004,0
2021,Massachussettes,2.711,2.634,0.077,0
2021,Minnesota,2.68,2.598,0.082,0
2021,New York,2.809,2.721,0.088,0
2021,Ohio,2.782,2.698,0.084,0
2021,Texas,2.45,2.403,0.047,0
2021,Washington,3.034,2.914,0.12,0
2022,California,4.762,4.662,0.1,1
2022,Colorado,3.437,3.421,0.016,1
2022,Florida,3.556,3.537,0.019,1
2022,Massachussettes,3.675,3.607,0.068,1
2022,Minnesota,3.471,3.427,0.044,1
2022,New York,3.825,3.766,0.059,1
2022,Ohio,3.394,3.436,-0.042,1
2022,Texas,3.355,3.273,0.082,1
2022,Washington,3.966,3.947,0.019,1
